"A01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",51.6,ddPCR Supermix for Probes (no dUTP),1032,,,54.8,48.3,953,21275,42,866,911,20409,0.177,22228,,,,,,,,0.95,,,1.04,0.87,48.8,,,51,46.5,1,1,1474,2349.7,834.14,899.12,"",,,,53.2,49.9,,,,,,,0.996,0.908,,,49.9,47.6,
"B01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",54,ddPCR Supermix for Probes (no dUTP),1080,,,57.4,50.6,965,20551,34,774,931,19777,0,21516,,,,,,,,0.83,,,0.91,0.76,45.5,,,47.8,43.2,1,1,1474,2396.4,868.39,936.92,"",,,,55.7,52.2,,,,,,,0.874,0.794,,,46.7,44.3,
"C01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",55.9,ddPCR Supermix for Probes (no dUTP),1118,,,59.4,52.3,940,19327,35,757,905,18570,0,20267,,,,,,,,0.84,,,0.92,0.76,45.6,,,48,43.3,1,1,1474,2378.8,852.28,923.08,"",,,,57.7,54.1,,,,,,,0.88,0.799,,,46.8,44.4,
"D01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",55.4,ddPCR Supermix for Probes (no dUTP),1108,,,58.8,52,1003,20800,40,787,963,20013,0.115,21803,,,,,,,,0.82,,,0.9,0.75,45.1,,,47.4,42.8,1,1,1474,2378.6,841.55,912.26,"",,,,57.2,53.7,,,,,,,0.86,0.783,,,46.3,43.9,
"E01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",53.4,ddPCR Supermix for Probes (no dUTP),1068,,,56.8,50.1,972,20927,25,795,947,20132,0,21899,,,,,,,,0.84,,,0.92,0.76,45.7,,,48,43.4,1,1,1474,2465.5,875.89,946.44,"",,,,55.1,51.7,,,,,,,0.88,0.801,,,46.8,44.5,
"F01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA","Manual",53.3,ddPCR Supermix for Probes (no dUTP),1066,,,56.8,49.9,929,20033,35,765,894,19268,0,20962,,,,,,,,0.86,,,0.94,0.78,46.2,,,48.5,43.8,1,1,1474,2463.2,872.47,942.97,"",,,,55.1,51.6,,,,,,,0.9,0.817,,,47.4,45,
"G01",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA","Manual",354,ddPCR Supermix for Probes (no dUTP),7080,,,363,344,5299,15114,1381,3884,3918,11230,1.49,20413,,,,,,,,0.993,,,1.031,0.955,49.8,,,50.8,48.9,1,1,1502,2772.3,935.03,1412,"",,,,358.5,348.7,,,,,,,1.012,0.973,,,50.3,49.32,
"H01",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA","Manual",345,ddPCR Supermix for Probes (no dUTP),6900,,,354,335,5142,15113,1291,3818,3851,11295,0,20255,,,,,,,,0.993,,,1.031,0.954,49.8,,,50.8,48.8,1,1,1502,2790.2,937.84,1408.1,"",,,,349.4,339.7,,,,,,,1.012,0.973,,,50.31,49.32,
"A02",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA","Manual",0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.27,0,1,21042,1,0,0,21042,0.0559,21043,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,1502,5093.5,859.52,859.72,"",,,,0.14,0.02,,,,,,,2.6,0,,,89,11,
"B02",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.16,0,0,21696,0,0,0,21696,0,21696,,,,,,,,,,,,,,,,,,1,1,1502,0,827.06,827.06,"",,,,0.074,0,,,,,,,,,,,,,
