Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,15.1,ddPCR Supermix for Probes (no dUTP),302,,,16.9,13.3,262,20265,20,242,1335,18930,0.168,20527,,,,,,,,0.188,,,0.213,0.163,15.8,,,17.6,14.1,1,1,3475,10958,1866.7,1982.7,,,,,16,14.2,,,,,,,0.201,0.175,,,16.7,14.9
E01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.7,ddPCR Supermix for Probes (no dUTP),294,,,16.5,12.9,257,20397,12,245,1308,19089,0,20654,,,,,,,,0.19,,,0.215,0.164,15.9,,,17.7,14.1,1,1,3475,11071,1882.8,1997.1,,,,,15.7,13.8,,,,,,,0.203,0.177,,,16.9,15
F01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.4,ddPCR Supermix for Probes (no dUTP),288,,,16.3,12.6,235,19016,21,214,1268,17748,0.349,19251,,,,,,,,0.177,,,0.202,0.153,15.1,,,16.8,13.3,1,1,3475,10847,1864.1,1973.8,,,,,15.4,13.5,,,,,,,0.19,0.165,,,16,14.1
G01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.9,ddPCR Supermix for Probes (no dUTP),298,,,16.7,13,252,19815,20,232,1347,18468,0.181,20067,,,,,,,,0.179,,,0.203,0.155,15.2,,,16.9,13.5,1,1,3475,10872,1863.8,1977,,,,,15.8,13.9,,,,,,,0.191,0.167,,,16.1,14.3
H01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,16,ddPCR Supermix for Probes (no dUTP),320,,,17.9,14.1,279,20396,19,260,1375,19021,0.0117,20675,,,,,,,,0.195,,,0.22,0.17,16.3,,,18,14.5,1,1,3475,10935,1879.6,2001.8,,,,,16.9,15,,,,,,,0.207,0.182,,,17.2,15.4
A02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14,ddPCR Supermix for Probes (no dUTP),280,,,15.7,12.3,253,21168,16,237,1270,19898,0.048,21421,,,,,,,,0.192,,,0.218,0.166,16.1,,,17.9,14.3,1,1,3475,10890,1878.7,1985.1,,,,,14.9,13.1,,,,,,,0.205,0.179,,,17,15.2
A03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.51,ddPCR Supermix for Probes (no dUTP),10.2,,,0.93,0.25,9,20558,0,9,182,20376,0,20567,,,,,,,,0.049,,,0.083,0.016,4.7,,,7.7,1.6,1,1,3475,10507,1896,1899.8,,,,,0.71,0.36,,,,,,,0.066,0.032,,,6.2,3.2
A04,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.59,ddPCR Supermix for Probes (no dUTP),11.8,,,1.02,0.31,11,21845,0,11,199,21646,0,21856,,,,,,,,0.055,,,0.089,0.021,5.2,,,8.3,2.2,1,1,3475,11213,1869.5,1874.2,,,,,0.79,0.43,,,,,,,0.072,0.038,,,6.8,3.7
A05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.29,ddPCR Supermix for Probes (no dUTP),5.8,,,0.62,0.1,5,20466,0,5,191,20275,0,20471,,,,,,,,0.026,,,0.05,0.002,2.5,,,4.8,0.3,1,1,3475,11483,1970,1972.4,,,,,0.44,0.18,,,,,,,0.038,0.014,,,3.7,1.4
A06,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.12,ddPCR Supermix for Probes (no dUTP),2.4,,,0.39,0.02,2,19148,0,2,164,18984,0,19150,,,,,,,,0.012,,,0.031,0,1.2,,,3,0,1,1,3475,11437,1994.7,1995.6,,,,,0.24,0.05,,,,,,,0.021,0.003,,,2.1,0.3
A07,Absolute Quantification,ABS,C231,Ch1Unknown,ZFY,OK,165,ddPCR Supermix for Probes (no dUTP),3300,,,171,159,2737,18207,348,2389,2470,15737,0,20944,,,,,,,,0.97,,,1.02,0.92,49.2,,,50.5,47.9,1,1,2770,11232,1933.6,3148.8,,,,,167.9,161.6,,,,,,,0.995,0.943,,,49.9,48.5
A08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18502,0,0,0,18502,0,18502,,,,,,,,,,,,,,,,,,1,1,4405,0,1886,1886,,,,,0.087,0,,,,,,,,,,,,
A09,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.3,0,1,18723,0,1,0,18723,0,18724,,,,,,,,,,,,,,,,,,1,1,4405,10934,1884.3,1884.8,,,,,0.16,0.02,,,,,,,,,,,,
B02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,13.8,ddPCR Supermix for Probes (no dUTP),276,,,15.6,12,221,18779,14,207,1377,17402,0,19000,,,,,,,,0.154,,,0.176,0.132,13.3,,,15,11.7,1,1,3475,11265,1960.3,2068.5,,,,,14.7,12.8,,,,,,,0.165,0.143,,,14.2,12.5
B03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.55,0.07,4,19993,0,4,209,19784,0,19997,,,,,,,,0.019,,,0.039,0,1.9,,,3.8,0,1,1,3475,8141,2009.7,2010.9,,,,,0.38,0.14,,,,,,,0.029,0.009,,,2.8,0.9
B04,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.41,ddPCR Supermix for Probes (no dUTP),8.2,,,0.77,0.19,8,22858,0,8,185,22673,0,22866,,,,,,,,0.043,,,0.074,0.012,4.1,,,7,1.3,1,1,3475,10707,1957.3,1960.4,,,,,0.58,0.28,,,,,,,0.059,0.027,,,5.6,2.7
B05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.22,ddPCR Supermix for Probes (no dUTP),4.4,,,0.51,0.07,4,21720,0,4,214,21506,0,21724,,,,,,,,0.019,,,0.038,0,1.8,,,3.7,0,1,1,3475,11389,1946.9,1948.7,,,,,0.35,0.12,,,,,,,0.028,0.009,,,2.8,0.9
B06,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.28,ddPCR Supermix for Probes (no dUTP),5.6,,,0.61,0.1,5,20804,0,5,191,20613,0,20809,,,,,,,,0.026,,,0.05,0.002,2.5,,,4.8,0.3,1,1,3475,10360,1971.9,1973.9,,,,,0.43,0.17,,,,,,,0.038,0.014,,,3.7,1.4
B07,Absolute Quantification,ABS,C231,Ch1Unknown,ZFY,OK,144,ddPCR Supermix for Probes (no dUTP),2880,,,150,138,2117,16231,234,1883,1909,14322,0,18348,,,,,,,,0.99,,,1.05,0.93,49.7,,,51.2,48.2,1,1,2636,11172,1925.4,2992.2,,,,,147.4,141.1,,,,,,,1.017,0.957,,,50.4,48.9
B08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18736,0,0,0,18736,0,18736,,,,,,,,,,,,,,,,,,1,1,4405,0,1923.3,1923.3,,,,,0.086,0,,,,,,,,,,,,
B09,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19438,0,0,0,19438,0,19438,,,,,,,,,,,,,,,,,,1,1,4405,0,1926.2,1926.2,,,,,0.083,0,,,,,,,,,,,,
C02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,15.5,ddPCR Supermix for Probes (no dUTP),310,,,17.4,13.6,254,19196,18,236,1186,18010,0.149,19450,,,,,,,,0.206,,,0.234,0.178,17.1,,,19,15.1,1,1,3475,10947,1891.9,2010.2,,,,,16.4,14.5,,,,,,,0.22,0.192,,,18,16.1
C03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.65,ddPCR Supermix for Probes (no dUTP),13,,,1.12,0.34,11,19831,0,11,179,19652,0,19842,,,,,,,,0.061,,,0.099,0.023,5.8,,,9.1,2.4,1,1,3475,11361,1937.7,1942.9,,,,,0.87,0.47,,,,,,,0.08,0.042,,,7.5,4.1
C04,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.27,ddPCR Supermix for Probes (no dUTP),5.4,,,0.58,0.09,5,21873,0,5,210,21663,0,21878,,,,,,,,0.024,,,0.046,0.002,2.3,,,4.4,0.2,1,1,3475,8456.9,1950.1,1951.6,,,,,0.41,0.16,,,,,,,0.035,0.013,,,3.4,1.3
C05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.53,ddPCR Supermix for Probes (no dUTP),10.6,,,0.94,0.27,10,22068,0,10,190,21878,0,22078,,,,,,,,0.052,,,0.086,0.018,5,,,8,1.9,1,1,3475,10512,1963.4,1967.3,,,,,0.72,0.38,,,,,,,0.07,0.035,,,6.5,3.4
C06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,0.9,25,20416,0,25,415,20001,0,20441,,,,,,,,0.06,,,0.084,0.035,5.6,,,7.8,3.5,1,1,3475,10754,1913.8,1924.6,,,,,1.75,1.17,,,,,,,0.072,0.047,,,6.7,4.5
C07,Absolute Quantification,ABS,C231,Ch1Unknown,ZFY,OK,152,ddPCR Supermix for Probes (no dUTP),3040,,,158,146,2348,17019,297,2051,2173,14846,0,19367,,,,,,,,0.95,,,1,0.89,48.6,,,50.1,47.2,1,1,3129,11267,1953.9,3082.9,,,,,155.2,148.9,,,,,,,0.975,0.92,,,49.4,47.9
C08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18844,0,0,1,18843,0,18844,,,,,,,,,,,,,,,,,,1,1,4405,0,1912.3,1912.3,,,,,0.085,0,,,,,,,,,,,,
D02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.4,ddPCR Supermix for Probes (no dUTP),288,,,16.2,12.6,234,19003,12,222,1185,17818,0,19237,,,,,,,,0.191,,,0.217,0.164,16,,,17.9,14.1,1,1,3475,11221,1956.9,2069.6,,,,,15.3,13.5,,,,,,,0.204,0.177,,,17,15
D03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.57,0.07,4,19553,0,4,180,19373,0,19557,,,,,,,,0.022,,,0.045,0,2.2,,,4.4,0,1,1,3475,10957,1927.6,1929.4,,,,,0.38,0.14,,,,,,,0.034,0.011,,,3.3,1.1
D04,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,16371,0,0,0,16371,0,16371,,,,,,,,,,,,,,,,,,1,1,0,0,2636,2636,,,,,,,,,,,,,,,,,,
D05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.56,0.07,4,19737,0,4,187,19550,0,19741,,,,,,,,0.021,,,0.043,0,2.1,,,4.2,0,1,1,3475,11144,1978.5,1980.4,,,,,0.38,0.14,,,,,,,0.032,0.01,,,3.1,1
D06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.16,ddPCR Supermix for Probes (no dUTP),23.2,,,1.72,0.74,22,22303,1,21,449,21854,0.03,22325,,,,,,,,0.048,,,0.069,0.028,4.6,,,6.5,2.7,1,1,3475,10876,1898.4,1907.2,,,,,1.42,0.93,,,,,,,0.059,0.038,,,5.6,3.7
D07,Absolute Quantification,ABS,C231,Ch1Unknown,ZFY,OK,139,ddPCR Supermix for Probes (no dUTP),2780,,,144,133,2322,18566,273,2049,2153,16413,0.238,20888,,,,,,,,0.95,,,1.01,0.9,48.8,,,50.3,47.4,1,1,2910,11286,1961.2,2997.7,,,,,141.5,135.8,,,,,,,0.982,0.927,,,49.6,48.1
D08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19923,0,0,0,19923,0,19923,,,,,,,,,,,,,,,,,,1,1,4405,0,1909.8,1909.8,,,,,0.081,0,,,,,,,,,,,,
E02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.7,12.9,237,18740,13,224,1240,17500,0,18977,,,,,,,,0.184,,,0.21,0.158,15.5,,,17.4,13.7,1,1,3475,11220,1962.1,2077.7,,,,,15.7,13.8,,,,,,,0.197,0.171,,,16.5,14.6
E03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.5,0.05,3,18586,0,3,168,18418,0,18589,,,,,,,,0.018,,,0.039,0,1.7,,,3.8,0,1,1,3475,9820.1,1967.4,1968.7,,,,,0.33,0.1,,,,,,,0.028,0.007,,,2.8,0.7
E04,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.26,ddPCR Supermix for Probes (no dUTP),5.2,,,0.57,0.09,5,22454,0,5,218,22236,0,22459,,,,,,,,0.023,,,0.044,0.002,2.2,,,4.2,0.2,1,1,3475,11196,1918.2,1920.2,,,,,0.4,0.16,,,,,,,0.033,0.012,,,3.2,1.2
E05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.45,0.04,3,20650,0,3,205,20445,0,20653,,,,,,,,0.015,,,0.032,0,1.4,,,3.2,0,1,1,3475,11477,1982.9,1984.2,,,,,0.29,0.09,,,,,,,0.023,0.006,,,2.3,0.6
E06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.1,1,25,20213,3,22,384,19829,0.15,20238,,,,,,,,0.064,,,0.09,0.038,6,,,8.3,3.7,1,1,3475,10974,1941.5,1952.6,,,,,1.76,1.18,,,,,,,0.077,0.051,,,7.2,4.9
E07,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19763,0,0,0,19763,0,19763,,,,,,,,,,,,,,,,,,1,1,4405,0,1873.6,1873.6,,,,,0.081,0,,,,,,,,,,,,
E08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,21000,0,0,1,20999,0,21000,,,,,,,,,,,,,,,,,,1,1,4405,0,1900.7,1900.7,,,,,0.077,0,,,,,,,,,,,,
F02,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,10.9,ddPCR Supermix for Probes (no dUTP),218,,,12.5,9.2,173,18657,7,166,844,17813,0,18830,,,,,,,,0.2,,,0.232,0.167,16.6,,,18.9,14.4,1,1,3475,12035,2194.3,2284.7,,,,,11.7,10,,,,,,,0.216,0.183,,,17.8,15.5
F03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.29,ddPCR Supermix for Probes (no dUTP),5.8,,,0.63,0.1,5,20449,0,5,194,20255,0,20454,,,,,,,,0.026,,,0.049,0.002,2.5,,,4.7,0.3,1,1,3475,11032,1903.6,1905.9,,,,,0.44,0.18,,,,,,,0.037,0.014,,,3.6,1.4
F04,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.22,ddPCR Supermix for Probes (no dUTP),4.4,,,0.52,0.07,4,21425,0,4,194,21231,0,21429,,,,,,,,0.021,,,0.042,0,2,,,4.1,0,1,1,3475,11386,1974.9,1976.7,,,,,0.35,0.13,,,,,,,0.031,0.01,,,3,1
F05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.4,ddPCR Supermix for Probes (no dUTP),8,,,0.78,0.17,7,20521,0,7,195,20326,0,20528,,,,,,,,0.036,,,0.063,0.008,3.4,,,6,0.9,1,1,3475,10304,1942,1944.9,,,,,0.57,0.27,,,,,,,0.05,0.022,,,4.7,2.2
F06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.5,1.2,26,17523,1,25,406,17117,0.0273,17549,,,,,,,,0.063,,,0.088,0.038,5.9,,,8.2,3.7,1,1,3475,10616,1930.6,1943.5,,,,,2.11,1.42,,,,,,,0.076,0.05,,,7.1,4.8
F07,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.28,0,1,20375,0,1,0,20375,0,20376,,,,,,,,,,,,,,,,,,1,1,4405,8969.6,1872.5,1872.8,,,,,0.14,0.02,,,,,,,,,,,,
F08,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20727,0,0,0,20727,0,20727,,,,,,,,,,,,,,,,,,1,1,4405,0,1883.7,1883.7,,,,,0.078,0,,,,,,,,,,,,
G02,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.34,ddPCR Supermix for Probes (no dUTP),6.8,,,0.7,0.13,6,20611,0,6,212,20399,0,20617,,,,,,,,0.028,,,0.052,0.005,2.7,,,5,0.5,1,1,3475,10197,1938.8,1941.2,,,,,0.5,0.22,,,,,,,0.04,0.016,,,3.9,1.6
G03,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,Manual,0.25,ddPCR Supermix for Probes (no dUTP),5,,,0.59,0.08,4,18753,0,4,175,18578,0,18757,,,,,,,,0.023,,,0.046,0,2.2,,,4.5,0,1,1,3475,11675,2002.8,2004.9,,,,,0.4,0.14,,,,,,,0.035,0.011,,,3.3,1.1
G04,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.4,ddPCR Supermix for Probes (no dUTP),8,,,0.77,0.17,7,20740,0,7,234,20506,0,20747,,,,,,,,0.03,,,0.053,0.007,2.9,,,5.1,0.7,1,1,3475,10224,1925,1927.8,,,,,0.57,0.26,,,,,,,0.041,0.018,,,4,1.8
G05,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,Manual,0.35,ddPCR Supermix for Probes (no dUTP),7,,,0.72,0.14,6,20151,0,6,156,19995,0,20157,,,,,,,,0.038,,,0.071,0.006,3.7,,,6.7,0.7,1,1,3475,8324.5,2016.7,2018.5,,,,,0.51,0.23,,,,,,,0.054,0.022,,,5.2,2.2
G06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,Manual,1.05,ddPCR Supermix for Probes (no dUTP),21,,,1.62,0.64,18,20152,0,18,387,19765,0,20170,,,,,,,,0.046,,,0.068,0.024,4.4,,,6.4,2.4,1,1,3475,10225,1904.6,1912,,,,,1.32,0.82,,,,,,,0.057,0.035,,,5.4,3.4
